Problem_CUI,icd9_code,co_occurrance_probability
C0002940,3972,0.09065550906555091
C0022661,3995,0.06913280776228017
C0031039,370,0.06601466992665037
C0022661,3895,0.06432417115330122
C0032227,3491,0.06281565656565657
C0085616,3972,0.06115107913669064
C0018946,0131,0.059850374064837904
C0027651,9925,0.0569280343716434
C0008311,5187,0.05058365758754864
C0085605,5491,0.04619028819581523
C0302148,3895,0.04322084073416222
C0018932,4523,0.042725173210161664
C0002940,8841,0.04170957775489186
C0220983,311,0.039469893402477675
C0003962,5491,0.03829101168883514
C0022658,3895,0.037867312935474094
C0022658,3995,0.036872218690400506
C0302148,5491,0.036509675063891925
C0398738,0066,0.036354326676907314
C0041948,3895,0.03622735790131168
C1510475,4523,0.03558504221954162
C0020517,3895,0.03548759376803231
C0041948,3995,0.03506493506493506
C0745138,3995,0.0341007819287576
C3714514,3895,0.03298350824587706
C0041582,4513,0.032595325953259535
C0017181,4516,0.03114860480207657
C2830004,3995,0.030782029950083195
C0020517,3995,0.0303030303030303
C0206698,5491,0.03001519756838906
C0302148,3995,0.02981651376146789
C0017181,4523,0.02954048140043764
C0032227,3895,0.029243292131444075
C0600688,3895,0.02842759846017175
C0546817,3324,0.028278173439463757
C0206698,311,0.028099652375434526
C0001127,311,0.02746458514021393
C0017181,4513,0.0273065784029789
C0546817,311,0.02727008993327531
C0085605,3895,0.027112232030264815
C0206698,3895,0.026597370834607153
C0032227,3995,0.026399155227032733
C0751781,5491,0.02608695652173913
C3714514,3324,0.02601693165393351
C0085605,3995,0.025925925925925925
C0032326,3404,0.025878717651602937
C0600688,0331,0.025299238302502722
C0220983,3324,0.02521884118382659
C0025222,4513,0.025047358450852448
C0011860,3895,0.025036390101892285
C0032227,3404,0.024900757849151932
C0020517,3324,0.024728588661037387
C0022661,4513,0.02469619756958056
C0220983,4311,0.024154589371980676
C0600688,3995,0.023983315954118872
C0032227,5491,0.02389843166542196
C3714514,3995,0.02377445823690301
C0220983,9672,0.02368392722575089
C0036974,311,0.023612750885478158
C0020517,311,0.023581025500411294
C0021308,4311,0.023521272915946037
C0042963,4513,0.023507385063449137
C0034063,3324,0.023109243697478993
C0011860,3995,0.02307850813929528
C0022661,3324,0.02302958109986103
C0001127,3324,0.022983702465524447
C1265876,3324,0.022799240025332488
C0020517,9672,0.02271526677231907
C0014867,5491,0.02268041237113402
C2830004,3891,0.022569663346362373
C0085616,8841,0.022459292532285232
C0032227,3324,0.022383419689119173
C0036974,4311,0.02202486678507993
C0031106,311,0.021987951807228914
C0020517,3891,0.0219807668290246
C0302148,3324,0.02169463774048301
C0264490,311,0.02167630057803468
C0021400,3324,0.02142121524201854
C0022661,3893,0.021321740930497338
C0022661,9904,0.021286231884057972
C0220983,0331,0.021175814990247982
C2830004,0331,0.021143941447546763
C0012359,5491,0.021107128634010354
C3714514,9672,0.020998500107135207
C0546817,9672,0.020939017808958446
C0206698,3324,0.020924879681941826
C0302148,311,0.0207923574037651
C0039239,3324,0.020449897750511245
C0032227,311,0.02029731275014294
C0018926,4513,0.02017841971112999
C0022661,9604,0.020157814468536567
C0009676,3995,0.02012578616352201
C0302148,4513,0.01999596041203797
C0264490,9672,0.01993964216425954
C0037199,311,0.019774870702768482
C0751781,3895,0.019564531397917324
C3714514,3891,0.01929913661757237
C0020517,3893,0.01921079958463136
C0206698,4513,0.019199009083402146
C0006266,3324,0.019098712446351928
C0036572,3891,0.018950064020486556
C0001127,9672,0.018863856850274877
C0020517,9604,0.018710880277000932
C0036974,3324,0.018663838812301166
C0600688,9672,0.018451365187713314
C0600688,3324,0.01842374616171955
C0012359,3895,0.018412698412698412
C0038454,4311,0.01837725381414702
C0020517,0331,0.018326693227091635
C0021400,9672,0.018296597474855555
C0041582,3995,0.018208765615075163
C0302148,3891,0.018184114155827755
C0032227,4311,0.01811965811965812
C0001122,3995,0.018082788671023965
C0020517,4513,0.018059138717999603
C3714514,9915,0.018037630228580313
C2830004,9672,0.017999786984769412
C0546817,3995,0.017933390264730998
C0085605,4513,0.01791359325605901
C0009676,3895,0.017899761336515514
C1265876,9672,0.01788036410923277
C1514893,3324,0.01784197111299915
C0206698,3891,0.017793138760880695
C0011860,4513,0.017771565495207666
C0001127,9390,0.017737848422022574
C0206698,3995,0.017701002345915973
C0040053,4513,0.017466329966329967
C0022661,9671,0.01743672748675692
C0021400,3891,0.01736815415821501
C0043144,9390,0.01734763752567907
C0011860,3891,0.017301905717151452
C0302148,9672,0.017276314386264265
C0085631,311,0.017226017226017225
C0022661,3891,0.01722428748451053
C3714514,9604,0.01719621145966279
C0032227,9672,0.017174753112924004
C1514893,311,0.01715468796214138
C0206698,9672,0.01715210355987055
C0264490,3324,0.017129726342176726
C0043144,3891,0.017050515332739533
C0019080,3324,0.017006802721088433
C2830004,9604,0.016999063043769237
C2830004,3893,0.01688907422852377
C0011860,3893,0.01684955015861459
C0264490,3895,0.016773406526379993
C0021400,9604,0.016712531042351837
C0302148,3893,0.016691007719591068
C3714514,9671,0.01664427526496492
C0302148,8872,0.01662495530925992
C3714514,3893,0.01662397407078258
C0036572,9672,0.016616314199395774
C0031106,3324,0.016569829997848073
C3714514,966,0.01656649714902142
C0020517,9671,0.0165570256486067
C0600688,3893,0.01643106775859371
C0020517,966,0.01632466244564803
C0860062,3995,0.01629726205997392
C0600688,9604,0.016210060955187885
C0009676,3891,0.016090206512099324
C0021400,966,0.016089299461123942
C0302148,9604,0.016008037508372406
C0011860,9672,0.0158999364002544
C0009676,5491,0.0158496129745669
C0151908,3324,0.01581196581196581
C0039239,0331,0.01575658788372725
C0264490,3995,0.015754737066212474
C0021400,9671,0.015734526472781507
C0856054,3891,0.01565507506736815
C0021308,311,0.015588914549653578
C0242656,3324,0.015545144804088584
C0014868,4513,0.015440703409822003
C0745283,3324,0.015439932318104907
C0011860,3324,0.015375278171151122
C0546817,3891,0.015370821058024849
C0009676,0331,0.015338263489454945
C0001125,3995,0.015268817204301075
C0220983,966,0.015232351349261578
C0021400,3893,0.01515072357766052
C0020517,8872,0.015135515663498769
C0039239,3893,0.015123070504797663
C2830004,9671,0.015089571099383038
C0264490,3891,0.015089514066496163
C0220983,3891,0.015068318222449239
C0004604,9672,0.01495749488862585
C0039239,3891,0.014893348479111446
C0751781,3995,0.014824504033137125
C0032227,966,0.014814814814814814
C0022661,966,0.014804129972669298
C0220983,9604,0.014755423797331895
C0039239,4513,0.014732593340060544
C0085762,4513,0.014724442574673959
C0001127,3891,0.014707763141066631
C0009676,3893,0.01467669487099133
C1265876,3891,0.014671814671814672
C0039239,9915,0.014665020067922198
C0014038,0331,0.014639976097998207
C0032227,8872,0.014639436110609073
C0264490,9604,0.014631515069786258
C0600688,966,0.014592933947772658
C0036572,9604,0.01457391539032454
C0018932,4513,0.014563106796116505
C0011860,9604,0.014545939814505906
C0041582,3324,0.014543943486391023
C0302148,9904,0.014510056019836534
C4761312,9672,0.014498979701428417
C0020517,9915,0.014477293508076803
C0030920,4513,0.014461931093151848
C0032227,3893,0.014441944429909474
C0022661,9672,0.014378673383711169
C1849718,3891,0.014376376117083277
C0600688,9671,0.014360119047619049
C0020517,8856,0.01435215946843854
C0022661,9915,0.014339622641509434
C4761312,3893,0.014288705118810844
C0220983,3893,0.014200377279396352
C4761312,9604,0.014195371367061357
C0036572,966,0.0141728624535316
C0206698,966,0.014170667492643643
C0001127,966,0.014162990480612956
C0039239,9604,0.014128833534217223
C0038220,0331,0.014122596153846154
C0043144,9672,0.014060319845443812
C0019348,0331,0.014055023923444975
C0546817,9604,0.014036982048859496
C0206698,8872,0.014033169309276472
C0011860,9671,0.014002074381389834
C0206698,3893,0.013952268554943612
C0038454,3891,0.013943968274274018
C0009676,9672,0.01390225644316116
C0019080,3995,0.013870827915041179
C0038454,8872,0.013838310269482883
C0019079,3324,0.013837837837837838
C0745283,9672,0.013775897602776874
C0302148,966,0.013747024038092314
C0206698,9915,0.013664206062509815
C0041582,3891,0.01363752230435891
C0238052,4513,0.013626834381551363
C0036974,3891,0.013551884357253484
C0264490,3893,0.013526975305405545
C0751781,9672,0.013525305410122165
C0032227,9604,0.013518057703947811
C0032227,3891,0.013489437515907355
C0038454,9604,0.013487995683841382
C0038454,9672,0.013477088948787061
C0004604,3893,0.0134639564124057
C2830004,966,0.01342745338755467
C0022658,3891,0.013389441469013007
C0546817,3893,0.013326337880377752
C0039239,9672,0.013324805457840315
C0031106,9915,0.013311948676824377
C4761312,9671,0.01330841121495327
C0149801,3891,0.013212435233160619
C0013404,3893,0.013190954773869347
C0034063,9672,0.013187763485028646
C0038454,966,0.013158913228578062
C0036974,9672,0.013143601998696502
C0546817,966,0.013091641490433032
C0038454,3893,0.013057157839538543
C0001127,3893,0.013055788590604026
C0038454,9671,0.013044456106154883
C0009676,9604,0.013016639828234032
C0004604,9604,0.013000134716421932
C0085631,3324,0.012995313165743502
C1140999,3891,0.012993762993762993
C0022658,3893,0.012987693113380466
C0032326,311,0.012967430639324486
C0006266,9672,0.012894765599388047
C0022658,9604,0.012859355012455395
C0031106,9672,0.012803676953381485
C0038454,3324,0.012750836120401336
C0041582,3893,0.012723179224043143
C0020456,3891,0.012698819907644944
C0043144,3893,0.012662201758057764
C0002064,3324,0.012660944206008584
C0001127,9604,0.012609575185434931
C0037199,3324,0.012570437798006068
C0856054,9604,0.012564171845447175
C0036572,3893,0.012537376068824423
C0041582,9904,0.012481508875739645
C0206698,9604,0.012480604466032516
C0012359,3995,0.012478108581436076
C0041582,9672,0.01246775580395529
C0001122,3891,0.012446518864255152
C0242656,9672,0.012408838576249049
C0019080,4513,0.01237156636611449
C0032227,9915,0.012318727584593793
C0020598,3891,0.012312078797304301
C1265876,3995,0.012265978050355068
C1140999,9672,0.012235088485907802
C0856054,3893,0.012233539850887326
C0264490,966,0.012227209410308002
C0003578,9672,0.012219070477852936
C0021308,966,0.012146062200216618
C0039239,9671,0.012123465972480476
C0018965,9672,0.012084921066956996
C0019080,9672,0.01207177814029364
C0021308,3893,0.012003983854903809
C0013404,3891,0.011972997070436885
C0027651,3324,0.0119632557145909
C0011860,966,0.011928429423459244
C0002064,9672,0.01191126652824828
C0034063,9604,0.011888678735476896
C0085631,9672,0.01186717474142624
C0546817,9671,0.01185385250206317
C0085605,9915,0.011805998723675814
C0021308,9604,0.011796427367711493
C0021308,9672,0.011743158801982333
C1265876,966,0.011730888750776882
C0028961,9672,0.011638024798781817
C0027651,3491,0.011574074074074073
C0085605,9672,0.0115581725002726
C1265876,3893,0.011512379750827945
C0745283,9604,0.011508258868128892
C1265876,9604,0.011501251606792502
C0042963,9604,0.01149736236980928
C0041948,9904,0.011481377765331839
C0009676,9671,0.011479686917629519
C4761312,3891,0.011460588310199922
C0034063,3893,0.011445972907697154
C0013404,9671,0.011440963134674345
C0677042,3324,0.011423735984768353
C0032326,3324,0.011415033383588197
C1514893,9672,0.011414284161321883
C0242656,3891,0.011385690257471858
C0020456,9604,0.01134598500709124
C0006266,3891,0.011308982191602755
C0032227,9671,0.011285500747384157
C0220983,9915,0.011274663326025681
C0206698,9671,0.011249437528123593
C0085577,9671,0.011235107826873775
C0021308,9671,0.01116439382586543
C3714514,9904,0.011156186612576065
C0017181,9904,0.011139992573338284
C0021308,3891,0.011119631901840489
C0014544,9904,0.011115262469643191
C0152020,3893,0.011107601600336912
C0022658,8856,0.011005434782608696
C0032227,9904,0.010990025858884374
C0600688,3891,0.010987623137155848
C0032326,9672,0.010948105977665865
C0022658,9904,0.010913799482056974
C0009676,966,0.010850327048864948
C0013404,9604,0.010832996904858028
C0856054,9672,0.01080964220084315
C1849718,9672,0.010785488615317572
C0014867,4513,0.010782833728703903
C0012634,3891,0.010731833462632531
C0344315,9672,0.010717410323709537
C0745283,3893,0.010676343746712948
C0039239,966,0.010671785028790787
C1258215,9672,0.010649978041282388
C0267026,9672,0.010632467390112903
C0012359,9672,0.010602251612198054
C0596601,9672,0.010601092896174863
C0149801,9672,0.010568751361952495
C0041582,9604,0.010567409302012519
C0302148,9671,0.010564690127222678
C0220983,9671,0.010559424848348686
C0043144,9604,0.010558170813718896
C0001125,3891,0.010549337450147947
C0036974,966,0.010505836575875485
C0004604,9671,0.01048139552294677
C0041948,3893,0.010475889660981258
C0028961,3891,0.01047052740434333
C0751781,966,0.0104589447393069
C0042963,3893,0.010458272020180785
C0001125,3893,0.01040681173131504
C0020598,9904,0.010387422796181921
C0085631,9604,0.010381327181435744
C0085577,9604,0.010372178157413058
C0004604,966,0.01035788822756435
C0037199,9672,0.010323997803404723
C0043144,9671,0.010313130558254242
C0267026,3891,0.010306588388780168
C0751781,3891,0.010246433203631646
C0034063,966,0.010236525785188057
C0036974,3893,0.010209988947950105
C0600688,9904,0.010194709772226305
C0677930,9672,0.010187315149523497
C1849718,3893,0.010171814061347106
C0677930,3891,0.010168165819319513
C0151908,3891,0.010112796577207312
C0025222,9904,0.010010290953316495
C0034063,9671,0.009988734509951183
C0028778,3893,0.009979515730868216
C0264490,9671,0.009968520461699895
C0036974,9604,0.00996002439189647
C0677042,3893,0.009940566980487035
C0001125,9604,0.009875541125541126
C0015672,9604,0.009821186670279057
C0022658,9671,0.009802454354983538
C0085605,9604,0.009779951100244499
C0023895,4513,0.009772678988740173
C0020456,3893,0.009764292088823559
C0041948,9604,0.009760065067100449
C4761312,9904,0.009701561489420679
C0677042,9604,0.009613431724324691
C0017181,3893,0.00960377853581737
C0011880,9671,0.009561093126552735
C1140999,966,0.009532739490545398
C0028778,9604,0.009528958572683653
C0520863,9671,0.009520930935469246
C0001127,9671,0.009519526272393374
C0011860,9904,0.009501187648456057
C0043144,966,0.00949000848699946
C0151908,9672,0.009486424599280341
C0149801,3893,0.009434459495071944
C0028961,3893,0.009426510084785929
C0019080,3893,0.009426013691416534
C4761312,966,0.00941721343110768
C0042963,9671,0.009400616680454237
C0020517,9904,0.009383255898697278
C1514893,3893,0.009371380435927133
C0012634,9672,0.009355961705831159
C0011860,9915,0.009340070433318021
C0015672,3893,0.009312848574134483
C0677042,9671,0.00926065351603674
C0036572,9671,0.009225922592259225
C0011127,9672,0.009201445941505093
C0021308,3324,0.00918388645376748
C0027051,9672,0.009172308364271676
C0085631,3893,0.00916754478398314
C0014544,3893,0.009163199747222074
C0085577,3893,0.009161269941557415
C0020598,3893,0.009120143391849859
C0302148,9915,0.0091133765832561
C0860062,9604,0.009093376764386535
C0027051,3891,0.00909090909090909
C0010200,9604,0.00908597775969623
C0028778,3723,0.0090627235869306
C0008031,9604,0.009023066485753052
C0234233,3893,0.009009483667017914
C0031106,966,0.008997027069316228
C0032290,9604,0.008987540001361748
C0031106,3891,0.008984375
C0751781,9604,0.008966782147951905
C0520863,3893,0.008963880833113629
C0041582,966,0.008958912573370406
C0745283,9671,0.00895881954377776
C0008031,3893,0.00895585291328627
C0021308,8872,0.008910711038370614
C0149801,966,0.008890968647636874
C0001125,9672,0.008883111255551945
C0032326,3891,0.008858780614903595
C0745138,3893,0.008851422550052687
C0085762,9671,0.008834189066747206
C0264490,9904,0.008804448563484708
C0001122,9904,0.008799026490686137
C0010200,3893,0.008794102159031068
C0020456,9671,0.008785102868298542
C0018965,9604,0.008752883701994842
C0018965,3893,0.008746048472075869
C0006266,3893,0.008708962313944895
C1565489,9672,0.008707956895613368
C0002064,9604,0.008705114254624592
C0085605,3893,0.008699778551091426
C0037315,3893,0.00869886123998313
C1514893,9604,0.008676789587852495
C0019079,9672,0.00866608161474331
C0151908,3893,0.00864705262047875
C0009676,3324,0.008641975308641974
C0856054,9671,0.00863687570409313
C0745283,966,0.008629402161237658
C0013922,3891,0.008613938919342208
C0022658,9672,0.008602150537634409
C0032290,9671,0.008561903318684649
C0520863,9604,0.008558038443252055
C0235480,3893,0.008542051146849458
C0017181,9672,0.008531317494600432
C0006266,966,0.008518952715904651
C0036974,9671,0.00851544837980407
C0003578,966,0.008508977361436378
C1265876,9671,0.008501354198013844
C0006266,9604,0.008501088139281828
C0028961,966,0.008490419068390716
C0020598,9604,0.008487811502682147
C0149801,9604,0.008485506754463376
C1849718,9604,0.008484930762964972
C3668885,9672,0.008481110254433308
C0264490,9915,0.008470588235294117
C0085631,9671,0.00845346818627821
C0041582,9671,0.008453022142429684
C1514893,9671,0.008444544974741763
C0019054,9672,0.008438356164383562
C0860062,3893,0.008430814627463378
C0242656,9604,0.00841248303934871
C0019080,966,0.008411870083339825
C0042029,966,0.008363295294669377
C0015672,9672,0.008359570079253068
C0014544,9604,0.008340679460229197
C0741439,9672,0.008335161219565694
C0040053,9904,0.008325537885874649
C0011880,3893,0.008309666561481013
C0344315,3893,0.008289772427266487
C0151908,9604,0.008285791904373811
C0002064,966,0.008284486127393513
C0013604,9672,0.008253549026081214
C0677042,9672,0.008244738555001085
C0220983,9904,0.0082399777798352
C0028754,9672,0.008234519104084322
C1140999,3893,0.008232624412897778
C0001122,3893,0.008225245175577349
C3714660,3324,0.008212664793602767
C0085605,3891,0.008168028004667444
C0001122,9604,0.008149959250203748
C0011860,8856,0.008139845209500934
C0041834,9672,0.008135444151275286
C0023882,9672,0.008129188179720971
C0024115,9672,0.008128295254833042
C0023380,3893,0.008124934050859976
C0032290,9672,0.00810159842347274
C1140999,9604,0.008091385054735839
C0038358,9904,0.00807208560165196
C0028961,9604,0.00806943785176646
C0001125,9671,0.008048138397893947
C0041948,9672,0.008042604064775569
C0596601,3893,0.008023225125362892
C0002064,3893,0.0080228016467856
C0017160,3893,0.008016877637130802
C0546817,9915,0.008016347060672743
C0751781,3893,0.008015609344513
C0150055,9604,0.007967313585291113
C0085605,966,0.00795942255169723
C0085605,9904,0.007956566507535337
C0027051,9604,0.007953232275168242
C0003578,9604,0.007948909572661185
C0003578,3893,0.007910975159538
C0085631,3891,0.007894396272809627
C0022658,966,0.00788009888751545
C0150055,3893,0.00787235166693084
C0238052,3893,0.007845821705018166
C0011127,3893,0.007820756711054744
C0017181,3891,0.007818508074852602
C0002064,3891,0.0077992980631743135
C1849718,966,0.00779848709350386
C0267026,9604,0.0077677841373671305
C0242656,3893,0.007744178695606363
C0009676,9904,0.007732670533001933
C0442874,3893,0.007708146349189588
